14,66
15,5
15,5
15,75
15,66
15,33
15,48
15,66
15,9
15,68
15,75
15,82
15,79
15,77
16
15,99
16,04
15,8
15,62
14,84
15,02
15,02
14,89
15,34
14,96
14,7
15,1
15,05
15,58
15,62
15,82
15,84
15,86
15,61
15,92
16,09
15,7
15,56
15,18
15,52
15,11
15,32
15,1
15,18
14,55
14,5
14,31
14,37
13,59
14,2
13,71
13,16
13,6
13
13,66
13,57
13,48
13,77
13,95
14,45
14,45
14,49
14,67
14,85
14,57
14,53
14,7
14,94
14,68
14,65
14,08
14,28
14,1
13,6
13,88
14,03
14,34
14
13,73
13,97
13,99
14,16
13,6
14,21
14,08
14,14
14,73
14,82
15,45
15,68
15,7
15,61
13,15
13,62
13,4
13,49
14,05
13,74
13,68
13,57
13,36
12,96
12,82
13,05
13,18
13,18
12,87
12,84
12,85
12,9
12,94
12,62
12,28
12,29
11,86
11,64
12,04
11,93
12,27
12,21
12,08
12,18
12,37
12,36
12,43
12,21
12,17
11,93
11,98
12,33
12,94
12,87
13,05
12,89
12,94
13,23
13,1
12,69
12,88
13,22
13,06
13
13,13
13,29
13,12
13,51
13,31
13,4
13,55
13,49
13,52
13,19
12,95
13,08
13,15
13,13
13,05
13,6
13,34
13,79
13,76
13,8
13,88
13,87
13,85
13,45
13,65
14,02
14,17
14,41
15,02
14,71
14,99
14,87
15,03
15,04
15,04
15,04
15,14
15,87
15,67
15,69
15,84
15,56
15,31
15,34
15,3
15,4
15,98
15,66
15,9
15,69
15,89
16,19
16,08
16,08
16,12
16,13
16,16
16,15
16,22
16,51
16,72
16,73
17,03
16,78
16,77
16,9
16,94
17,43
16,5
16,95
16,72
16,72
16,64
15,35
15,81
16,02
15,9
16,11
16,19
16,1
15,87
15,84
15,33
15,38
15,61
15,48
15,31
15,52
15,26
15,35
15,38
15,49
15,18
15,01
14,95
15,22
15,14
15,24
15,86
15,75
15,97
16,05
16,1
16,55
16,7
16,73
16,83
17,03
17,03
16,8
17,25
17,3
17,35
17,65
18,36
18,22
18,26
18,47
18,24
19,34
19,93
19,85
19,49
19,7
20,52
19,97
19,04
19,99
19,44
19,05
18,77
19,25
19,4
19,42
20,05
20,44
20,25
20,74
21,12
21,52
21,5
21,46
21,03
21,51
22,12
21,9
21,67
21,7
22,39
22,33
22,11
22,38
21,31
21,43
20,93
21,16
22,05
21,72
21,75
22,03
21,44
21,2
21,41
20,9
20,71
20,38
21,15
21,28
20,53
21,4
21,8
21,68
21,2
20,62
21,03
21,8
22,2
22,36
22,48
22,4
21,73
22,63
22,71
22,97
22,6
22,45
22,27
22,65
22,91
24,78
25,75
25,44
26,24
26,79
27,39
25,95
25,65
25,05
24,71
23,27
20,08
16,91
19,3
18,98
16,16
17,53
16,59
16,33
15,76
15,25
15,41
15,46
15,17
15,1
14,97
14,5
15,42
16,21
15,1
15,11
15,7
16,04
16,55
16,6
17,19
17,47
17,5
17,61
17,86
17,94
17,75
17,41
17,95
18,11
17,88
18,29
18,05
18,4
19,29
19,26
19,66
19,96
19,41
19,77
19,89
19,72
20,01
20,41
21,11
21,04
20,71
20,14
20,34
19,59
20,04
19,98
19,05
18,95
18,46
18,36
17,72
18,35
17,95
18,3
18,71
18,35
19,3
18,8
19,26
19
18,65
18,75
18,99
19,26
18,5
18,95
18,71
18,79
19,4
20,25
19,98
19,87
20,14
20
20,08
20,19
21,46
21,09
21
22,82
23,79
24,02
23,96
26,6
26,82
26,05
25,29
25,77
26,73
26,45
25,92
26,53
26,2
25,68
26,32
27,6
26,42
28
27,62
27,32
28,16
27,19
26,3
25,35
25,46
25,33
24,24
25,1
25,8
26
25,17
25,15
24,37
24,25
25,53
25,38
25,17
25,46
25,94
25,34
25,56
24,59
24,77
23,44
23,29
23,3
23,36
23,05
22,87
22
22,25
21,49
21,55
21,68
21,67
22,68
